structureid,annual_electricity_generation_k,first_year_bill_savings,system_size,payback_period,annual_ghg_reduction_kg,roof_size800k,system_cost
11 Thirty Ninth St Structure 1,3436,538,2.987826087,10,241,23,9000
27 Thirty Ninth St Structure 1,3872,606,3.366956522,10,271,29,10100
25 Thirty Ninth St Structure 1,4364,683,3.794782609,10,305,34,11400
32 Thirty Eighth St Structure 1,2104,329,1.829565217,10,147,16,5500
37 Thirty Ninth St Structure 1,4864,761,4.229565217,10,340,38,12700
35 Thirty Ninth St Structure 1,3540,554,3.07826087,10,248,27,9200
47 James St Structure 1,1351,211,1.174782609,10,95,11,3500
45 James St Structure 1,1835,287,1.595652174,10,128,15,4800
44 James St Structure 1,3996,625,3.474782609,10,280,30,10400
43 James St Structure 1,5138,804,4.467826087,10,360,39,13400
42 Thirty Eighth St Structure 1,5928,928,5.154782609,9,415,42,13900
40A Thirty Eighth St Structure 1,2905,455,2.526086957,10,203,23,7600
30 Thirty Eighth St Structure 1,3433,537,2.985217391,10,240,26,9000
35 James St Structure 1,5533,866,4.811304348,10,387,45,14400
33 James St Structure 1,5246,821,4.56173913,10,367,45,13700
41 Thirty Eighth St Structure 1,4377,685,3.806086957,10,306,36,11400
26 Thirty Eighth St Structure 1,5595,876,4.865217391,10,392,45,14600
20 Thirty Eighth St Structure 1,3169,496,2.755652174,10,222,24,8300
12 Thirty Eighth St Structure 2,1678,263,1.459130435,10,117,12,4400
18 Thirty Eighth St Structure 1,4868,762,4.233043478,10,341,36,12700
29 Thirty Eighth St Structure 1,5043,789,4.385217391,10,353,40,13200
27 Thirty Eighth St Structure 1,2267,355,1.971304348,10,159,19,5900
27 Thirty Eighth St Structure 2,2532,396,2.20173913,10,177,20,6600
38 Thirty Seventh St Structure 1,4078,638,3.546086957,10,285,32,10600
38 Thirty Seventh St Structure 2,2410,377,2.095652174,10,169,18,6300
40A Thirty Seventh St Structure 1,4308,674,3.746086957,10,302,32,11200
42 Thirty Seventh St Structure 1,4858,760,4.224347826,10,340,40,12700
27 James St Structure 1,3535,553,3.073913043,10,247,29,9200
29 James St Structure 1,4239,663,3.686086957,10,297,33,11100
44 Thirty Seventh St Structure 1,3336,522,2.900869565,10,234,25,8700
45 Thirty Seventh St Structure 1,3714,581,3.229565217,10,260,26,9700
15 James St Structure 1,5212,816,4.532173913,10,365,42,13600
41 Thirty Seventh St Structure 1,5486,859,4.770434783,10,384,41,14300
37 Thirty Seventh St Structure 1,3710,581,3.226086957,10,260,32,9700
37 Thirty Seventh St Structure 2,2002,313,1.740869565,10,140,16,5200
40 Thirty Seventh St Structure 1,4706,736,4.092173913,10,329,40,12300
34 Thirty Seventh St Structure 1,2365,370,2.056521739,10,166,20,6200
35 Thirty Seventh St Structure 1,5057,791,4.397391304,10,354,40,13200
35 Thirty Seventh St Structure 2,2696,422,2.344347826,10,189,20,7000
12 Thirty Seventh St Structure 1,5361,839,4.66173913,10,375,42,14000
14 Thirty Seventh St Structure 1,2677,419,2.327826087,10,187,22,7000
24 Thirty Seventh St Structure 1,6048,947,5.259130435,9,423,51,14200
25 Thirty Eighth St Structure 1,4163,652,3.62,10,291,33,10900
23 Thirty Eighth St Structure 1,1733,271,1.506956522,10,121,16,4500
17 Thirty Eighth St Structure 1,3459,541,3.007826087,10,242,30,9000
3 Thirty Eighth St Structure 1,3396,531,2.953043478,10,238,28,8900
357 Lake Promenade Structure 1,2022,316,1.75826087,10,142,17,5300
350 Lake Promenade Structure 1,6145,962,5.343478261,9,430,50,14400
339 Lake Promenade Structure 1,5819,911,5.06,9,407,49,13700
330 Lake Promenade Structure 1,3519,551,3.06,10,246,30,9200
332 Lake Promenade Structure 1,3308,518,2.876521739,10,232,22,8600
321 Lake Promenade Structure 1,4190,656,3.643478261,10,293,35,10900
312 Lake Promenade Structure 1,5046,790,4.387826087,10,353,43,13200
3 Thirty Seventh St Structure 2,2492,390,2.166956522,10,174,17,6500
26 Thirty Sixth St Structure 2,5922,927,5.149565217,9,415,46,13900
24 Thirty Sixth St Structure 1,3982,623,3.462608696,10,279,29,10400
308 Lake Promenade Structure 2,1459,228,1.268695652,10,102,12,3800
15 Thirty Sixth St Structure 1,5389,843,4.686086957,10,377,41,14100
15 Thirty Sixth St Structure 2,3211,503,2.792173913,10,225,26,8400
11 Thirty Sixth St Structure 1,4075,638,3.543478261,10,285,32,10600
17 Thirty Sixth St Structure 1,2593,406,2.254782609,10,182,21,6800
309 Lake Promenade Structure 1,2390,374,2.07826087,10,167,22,6200
9 Thirty Sixth St Structure 1,2397,375,2.084347826,10,168,21,6300
290 Lake Promenade Structure 1,5703,893,4.959130435,10,399,41,14900
282 Lake Promenade Structure 1,3126,489,2.71826087,10,219,25,8200
276 Lake Promenade Structure 1,4924,771,4.28173913,10,345,35,12800
1 Thirty Fifth St Structure 1,2441,382,2.122608696,10,171,18,6400
2 Thirty Fifth St Structure 1,2837,444,2.466956522,10,199,22,7400
7 Thirty Fifth St Structure 1,4209,659,3.66,10,295,31,11000
7 Chapel Rd Structure 1,2403,376,2.089565217,10,168,22,6300
4 Chapel Rd Structure 2,2223,348,1.933043478,10,156,20,5800
9-11 Thirty Fifth St Structure 1,4055,635,3.526086957,10,284,35,10600
9-11 Thirty Fifth St Structure 2,1395,218,1.213043478,10,98,12,3600
14 Thirty Fifth St Structure 1,3440,538,2.991304348,10,241,28,9000
16 Thirty Fifth St Structure 1,4012,628,3.488695652,10,281,31,10500
18 Thirty Fifth St Structure 1,2182,341,1.897391304,10,153,18,5700
18 Thirty Fifth St Structure 2,1442,226,1.253913043,10,101,12,3800
22 Thirty Fifth St Structure 1,3861,604,3.357391304,10,270,30,10100
49 Park Blvd Structure 1,4752,744,4.132173913,10,333,35,12400
34 Thirty Fifth St Structure 1,1929,302,1.677391304,10,135,17,5000
28 Thirty Fifth St Structure 1,3631,568,3.157391304,10,254,29,9500
41 Park Blvd Structure 1,5079,795,4.416521739,10,356,44,13200
39 Park Blvd Structure 1,1797,281,1.562608696,10,126,16,4700
44 Park Blvd Structure 1,4415,691,3.839130435,10,309,38,11500
25 Muskoka Ave Structure 2,1631,255,1.41826087,10,114,14,4300
24 Long Branch Ave Structure 1,1522,238,1.323478261,10,107,14,4000
26B Long Branch Ave Structure 1,5261,823,4.574782609,10,368,43,13700
28 Long Branch Ave Structure 1,4822,755,4.193043478,10,338,35,12600
31 Muskoka Ave Structure 2,3194,500,2.777391304,10,224,25,8300
33 Muskoka Ave Structure 2,1857,291,1.614782609,10,130,15,4800
36 Thirty Fifth St Structure 1,2441,382,2.122608696,10,171,20,6400
38 Thirty Fifth St Structure 1,4858,760,4.224347826,10,340,34,12700
37 Muskoka Ave Structure 1,3638,569,3.163478261,10,255,30,9500
51 Park Blvd Structure 1,3661,573,3.183478261,10,256,25,9600
29 Thirty Sixth St Structure 1,3994,625,3.473043478,10,280,33,10400
31 Thirty Sixth St Structure 1,4813,753,4.185217391,10,337,36,12600
35 Thirty Sixth St Structure 1,6243,977,5.428695652,9,437,50,14700
28 Thirty Sixth St Structure 1,5365,840,4.665217391,10,376,43,14000
30A Thirty Sixth St Structure 2,1854,290,1.612173913,10,130,14,4800
34 Thirty Sixth St Structure 1,6269,981,5.451304348,9,439,48,14700
34 Thirty Sixth St Structure 2,1917,300,1.666956522,10,134,16,5000
40 Thirty Sixth St Structure 1,2182,341,1.897391304,10,153,17,5700
38 Thirty Sixth St Structure 1,5687,890,4.945217391,10,398,46,14800
43 Thirty Sixth St Structure 1,4339,679,3.773043478,10,304,35,11300
44 Thirty Sixth St Structure 1,5239,820,4.5556521740000004,10,367,43,13700
46 Thirty Sixth St Structure 1,4091,640,3.557391304,10,286,34,10700
51 Thirty Sixth St Structure 1,1658,259,1.44173913,10,116,14,4300
47 Thirty Sixth St Structure 1,4376,685,3.805217391,10,306,36,11400
45 Thirty Sixth St Structure 1,4800,751,4.173913043,10,336,40,12500
53 Thirty Sixth St Structure 1,2395,375,2.082608696,10,168,18,6200
64 Thirty Fifth St Structure 2,2475,387,2.152173913,10,173,20,6500
67 Thirty Fifth St Structure 1,5822,911,5.062608696,9,408,41,13700
65 Thirty Fifth St Structure 1,6164,965,5.36,9,431,46,14500
63 Thirty Fifth St Structure 2,2977,466,2.588695652,10,208,25,7800
50 Thirty Fifth St Structure 1,3029,474,2.633913043,10,212,24,7900
52 Thirty Fifth St Structure 1,4525,708,3.934782609,10,317,37,11800
42 Muskoka Ave Structure 2,3022,473,2.627826087,10,212,25,7900
46 Thirty Fifth St Structure 1,2763,432,2.402608696,10,193,25,7200
44 Thirty Fifth St Structure 1,1411,221,1.226956522,10,99,13,3700
53 Thirty Fifth St Structure 1,2274,356,1.977391304,10,159,20,5900
30A Muskoka Ave Structure 1,3916,613,3.405217391,10,274,29,10200
32 Muskoka Ave Structure 1,5741,898,4.992173913,10,402,50,15000
28 Muskoka Ave Structure 1,5407,846,4.70173913,10,378,43,14100
32 Long Branch Ave Structure 1,2674,418,2.325217391,10,187,22,7000
34-36 Long Branch Ave Structure 1,2395,375,2.082608696,10,168,22,6200
24 Muskoka Ave Structure 1,4561,714,3.966086957,10,319,35,11900
44 Long Branch Ave Structure 2,6119,958,5.320869565,9,428,42,14400
42 Long Branch Ave Structure 2,3824,598,3.325217391,10,268,34,10000
53 Long Branch Ave Structure 1,2550,399,2.217391304,10,179,20,6700
55 Long Branch Ave Structure 1,4615,722,4.013043478,10,323,36,12000
55B Long Branch Ave Structure 2,1836,287,1.596521739,10,129,16,4800
46 Long Branch Ave Structure 1,3364,526,2.925217391,10,235,26,8800
57 Thirty Fifth St Structure 1,3128,490,2.72,10,219,24,8200
61 Thirty Fifth St Structure 1,2908,455,2.528695652,10,204,23,7600
30 Dominion Rd Structure 1,2949,462,2.564347826,10,206,26,7700
29 Marina Ave Structure 1,3529,552,3.068695652,10,247,32,9200
56 Long Branch Ave Structure 1,3825,599,3.326086957,10,268,30,10000
57 Long Branch Ave Structure 1,2125,333,1.847826087,10,149,17,5500
20 Dominion Rd Structure 1,5825,912,5.065217391,9,408,48,13700
22 Marina Ave Structure 1,4297,672,3.736521739,10,301,32,11200
22 Marina Ave Structure 2,4721,739,4.105217391,10,330,34,12300
3555 Lake Shore Blvd W Structure 1,5633,691,4.89826087,12,394,47,14700
3577-3579 Lake Shore Blvd W Structure 1,4941,606,4.296521739,12,346,40,12900
3575 Lake Shore Blvd W Structure 1,5843,716,5.080869565,11,409,47,13700
3597 Lake Shore Blvd W Structure 1,3494,428,3.03826087,12,245,31,9100
35 Marina Ave Structure 1,1336,209,1.16173913,10,94,12,3500
71 Thirty Fifth St Structure 1,2912,456,2.532173913,10,204,20,7600
69 Thirty Fifth St Structure 1,5034,788,4.377391304,10,352,38,13100
37 Marina Ave Structure 1,1968,308,1.711304348,10,138,17,5100
77 Thirty Fifth St Structure 1,2675,419,2.326086957,10,187,22,7000
3621 Lake Shore Blvd W Structure 3,2213,346,1.924347826,10,155,20,5800
81 Thirty Fifth St Structure 1,4146,649,3.605217391,10,290,32,10800
3660 Lake Shore Blvd W Structure 2,3772,462,3.28,12,264,28,9800
3659-3663 Lake Shore Blvd W Structure 2,2197,269,1.910434783,12,154,17,5700
3665A Lake Shore Blvd W Structure 2,3887,477,3.38,12,272,29,10100
3657 Lake Shore Blvd W Structure 2,3688,452,3.206956522,12,258,30,9600
92 Thirty Sixth St Structure 2,1605,251,1.395652174,10,112,13,4200
85 Thirty Seventh St Structure 2,1223,191,1.063478261,10,86,10,3200
88 Thirty Sixth St Structure 1,5689,890,4.946956522,10,398,41,14800
80 Thirty Sixth St Structure 1,3770,590,3.27826087,10,264,32,9800
82 Thirty Sixth St Structure 1,4232,662,3.68,10,296,32,11000
86 Thirty Sixth St Structure 1,5104,799,4.43826087,10,357,37,13300
84 Thirty Sixth St Structure 1,5532,866,4.810434783,10,387,40,14400
79 Thirty Sixth St Structure 1,3660,573,3.182608696,10,256,30,9500
73 Thirty Sixth St Structure 1,2160,338,1.87826087,10,151,16,5600
67 Thirty Sixth St Structure 1,2106,330,1.831304348,10,147,18,5500
70 Thirty Sixth St Structure 1,3742,586,3.253913043,10,262,26,9800
66 Thirty Sixth St Structure 1,4630,725,4.026086957,10,324,34,12100
3 James St Structure 1,2217,347,1.927826087,10,155,20,5800
8 James St Structure 1,3448,540,2.99826087,10,241,30,9000
16 James St Structure 1,5731,897,4.983478261,10,401,47,15000
20 James St Structure 1,3312,518,2.88,10,232,28,8600
76 Thirty Sixth St Structure 1,5112,800,4.445217391,10,358,41,13300
65 Thirty Seventh St Structure 1,3592,562,3.123478261,10,251,29,9400
63 Thirty Eighth St Structure 1,3822,598,3.323478261,10,268,26,10000
58 Thirty Seventh St Structure 2,1383,216,1.202608696,10,97,11,3600
55 Thirty Eighth St Structure 2,3059,479,2.66,10,214,28,8000
50 Thirty Seventh St Structure 1,4960,776,4.313043478,10,347,40,12900
26 James St Structure 1,4580,717,3.982608696,10,321,33,11900
51 Thirty Eighth St Structure 1,2343,367,2.037391304,10,164,20,6100
57 Thirty Eighth St Structure 1,5782,905,5.027826087,9,405,40,13600
40 James St Structure 1,5740,898,4.991304348,10,402,48,15000
61 Thirty Eighth St Structure 1,6004,940,5.220869565,9,420,42,14100
59 Thirty Eighth St Structure 1,5625,880,4.891304348,10,394,38,14700
65 Thirty Eighth St Structure 1,6162,964,5.35826087,9,431,44,14500
69 Thirty Eighth St Structure 1,5321,833,4.626956522,10,372,38,13900
71 Thirty Eighth St Structure 1,5463,855,4.750434783,10,382,38,14300
77 Thirty Eighth St Structure 1,4572,716,3.975652174,10,320,34,11900
87 Thirty Eighth St Structure 2,1744,273,1.516521739,10,122,13,4500
89 Thirty Eighth St Structure 1,3145,492,2.734782609,10,220,24,8200
89 Thirty Eighth St Structure 2,1304,204,1.133913043,10,91,10,3400
83 Thirty Eighth St Structure 1,4443,695,3.863478261,10,311,30,11600
83 Thirty Eighth St Structure 2,1549,242,1.346956522,10,108,13,4000
81 Thirty Eighth St Structure 1,5095,797,4.430434783,10,357,40,13300
81 Thirty Eighth St Structure 2,4031,631,3.505217391,10,282,29,10500
79 Thirty Eighth St Structure 1,3572,559,3.106086957,10,250,25,9300
78 Thirty Seventh St Structure 2,2905,455,2.526086957,10,203,20,7600
82 Thirty Seventh St Structure 1,3829,599,3.329565217,10,268,28,10000
3672 Lake Shore Blvd W Structure 7,4914,769,4.273043478,10,344,39,12800
15 Brown's Line Structure 3,4475,549,3.891304348,12,313,34,11700
15 Brown's Line Structure 4,1711,210,1.487826087,12,120,13,4500
152 Beta St Structure 2,2796,438,2.431304348,10,196,20,7300
155 Aldercrest Rd Structure 1,3739,585,3.251304348,10,262,29,9800
155 Aldercrest Rd Structure 2,2663,417,2.315652174,10,186,17,6900
163 Aldercrest Rd Structure 2,4905,768,4.265217391,10,343,36,12800
159 Aldercrest Rd Structure 2,5242,820,4.55826087,10,367,38,13700
167B Aldercrest Rd Structure 2,1624,254,1.412173913,10,114,12,4200
169 Aldercrest Rd Structure 2,2876,450,2.500869565,10,201,21,7500
171 Aldercrest Rd Structure 1,4530,709,3.939130435,10,317,34,11800
171 Aldercrest Rd Structure 2,3207,502,2.788695652,10,224,24,8400
168A Beta St Structure 1,4441,695,3.86173913,10,311,34,11600
168A Beta St Structure 2,2304,361,2.003478261,10,161,16,6000
168 Beta St Structure 2,1294,203,1.125217391,10,91,11,3400
166 Beta St Structure 1,4765,746,4.143478261,10,334,36,12400
165A Beta St Structure 1,2209,346,1.920869565,10,155,17,5800
165B Beta St Structure 1,2713,425,2.359130435,10,190,21,7100
167 Beta St Structure 1,6005,940,5.22173913,9,420,46,14100
169 Beta St Structure 1,5657,885,4.919130435,10,396,38,14800
169 Beta St Structure 2,1183,185,1.028695652,10,83,9,3100
172 Gamma St Structure 2,5470,856,4.756521739,10,383,39,14300
166 Gamma St Structure 1,5310,831,4.617391304,10,372,40,13900
163 Beta St Structure 1,4842,758,4.210434783,10,339,34,12600
162 Beta St Structure 1,4027,630,3.50173913,10,282,31,10500
158 Beta St Structure 1,5783,905,5.028695652,9,405,40,13600
158 Beta St Structure 2,1603,251,1.393913043,10,112,13,4200
152A Beta St Structure 1,3735,585,3.247826087,10,261,28,9700
152A Beta St Structure 2,2356,369,2.048695652,10,165,16,6100
151 Gamma St Structure 2,1415,221,1.230434783,10,99,12,3700
153 Gamma St Structure 1,4482,701,3.897391304,10,314,30,11700
155 Gamma St Structure 1,6172,966,5.366956522,9,432,40,14500
155 Gamma St Structure 2,2081,326,1.809565217,10,146,15,5400
163 Gamma St Structure 1,6259,980,5.442608696,9,438,48,14700
159 Gamma St Structure 2,1515,237,1.317391304,10,106,11,4000
158 Delta St Structure 1,5947,931,5.171304348,9,416,44,14000
158 Delta St Structure 2,2787,436,2.423478261,10,195,19,7300
156 Delta St Structure 2,1891,296,1.644347826,10,132,14,4900
154 Delta St Structure 2,3576,560,3.109565217,10,250,28,9300
157 Delta St Structure 1,6101,955,5.305217391,9,427,48,14300
155 Delta St Structure 2,4682,733,4.071304348,10,328,35,12200
149 Delta St Structure 1,6052,947,5.262608696,9,424,48,14200
149 Delta St Structure 2,2198,344,1.911304348,10,154,18,5700
152 Delta St Structure 1,5490,859,4.773913043,10,384,42,14300
152 Delta St Structure 2,1218,191,1.059130435,10,85,10,3200
150 Delta St Structure 2,1499,235,1.303478261,10,105,11,3900
420A Horner Ave Structure 1,1244,153,1.08173913,12,87,8,3200
170 Thirtieth St Structure 2,6050,947,5.260869565,9,424,41,14200
179 Thirtieth St Structure 1,5601,877,4.870434783,10,392,37,14600
179 Thirtieth St Structure 2,1681,263,1.46173913,10,118,11,4400
181 Thirtieth St Structure 1,5207,815,4.527826087,10,364,35,13600
181 Thirtieth St Structure 2,2368,371,2.059130435,10,166,16,6200
172 Thirtieth St Structure 2,1808,283,1.572173913,10,127,14,4700
174 Thirtieth St Structure 2,5367,840,4.666956522,10,376,38,14000
174 Thirtieth St Structure 3,1832,287,1.593043478,10,128,14,4800
178 Thirtieth St Structure 2,3714,581,3.229565217,10,260,25,9700
196 Thirtieth St Structure 1,2169,339,1.886086957,10,152,15,5700
189 Thirtieth St Structure 2,6012,737,5.227826087,11,421,48,14100
386 Horner Ave Structure 2,4639,726,4.033913043,10,325,35,12100
213 Thirtieth St Structure 2,2867,449,2.493043478,10,201,21,7500
211 Thirtieth St Structure 2,1852,290,1.610434783,10,130,14,4800
202 Thirtieth St Structure 1,5000,782,4.347826087,10,350,39,13000
202 Thirtieth St Structure 2,3777,591,3.284347826,10,264,28,9900
200 Thirtieth St Structure 1,4181,654,3.635652174,10,293,35,10900
206 Thirtieth St Structure 1,5055,791,4.395652174,10,354,38,13200
206 Thirtieth St Structure 2,1587,248,1.38,10,111,14,4100
204 Thirtieth St Structure 2,2831,443,2.46173913,10,198,23,7400
5 Davick Dr Structure 2,4292,672,3.732173913,10,300,35,11200
11 Davick Dr Structure 1,6139,961,5.33826087,9,430,50,14400
11 Davick Dr Structure 2,1161,182,1.009565217,10,81,10,3000
394 Horner Ave Structure 1,5486,859,4.770434783,10,384,39,14300
398 Horner Ave Structure 1,5933,929,5.159130435,9,415,43,13900
400 Horner Ave Structure 2,3987,624,3.466956522,10,279,31,10400
404 Horner Ave Structure 1,5192,813,4.514782609,10,363,43,13500
404A Horner Ave Structure 2,4267,668,3.710434783,10,299,32,11100
406 Horner Ave Structure 1,3363,526,2.924347826,10,235,28,8800
406 Horner Ave Structure 2,2897,453,2.519130435,10,203,23,7600
15 Davick Dr Structure 2,5664,886,4.925217391,10,396,41,14800
80 North Carson St Structure 2,2193,343,1.906956522,10,154,16,5700
82 North Carson St Structure 2,2484,389,2.16,10,174,20,6500
163 Delta St Structure 1,3829,599,3.329565217,10,268,29,10000
163 Delta St Structure 2,1793,281,1.559130435,10,126,13,4700
169 Delta St Structure 2,1556,244,1.353043478,10,109,10,4100
169A Delta St Structure 1,4143,648,3.602608696,10,290,31,10800
169A Delta St Structure 2,1431,224,1.244347826,10,100,10,3700
165 Delta St Structure 1,6074,951,5.28173913,9,425,46,14300
175 Delta St Structure 1,5341,836,4.644347826,10,374,46,13900
98 North Carson St Structure 2,2826,442,2.457391304,10,198,20,7400
96 North Carson St Structure 2,3024,473,2.629565217,10,212,26,7900
92 North Carson St Structure 1,4755,744,4.134782609,10,333,39,12400
90 North Carson St Structure 1,3584,561,3.116521739,10,251,28,9300
89 North Carson St Structure 2,5903,924,5.133043478,9,413,42,13900
87 North Carson St Structure 2,5132,803,4.462608696,10,359,36,13400
8 Davick Dr Structure 2,3729,584,3.242608696,10,261,28,9700
6 Davick Dr Structure 2,2509,393,2.18173913,10,176,18,6500
4 Davick Dr Structure 1,5983,936,5.202608696,9,419,50,14000
223 Thirtieth St Structure 2,1748,274,1.52,10,122,14,4600
219 Thirtieth St Structure 2,1545,242,1.343478261,10,108,12,4000
217 Thirtieth St Structure 1,6243,977,5.428695652,9,437,44,14700
4 Treeview Dr Structure 1,5888,921,5.12,9,412,44,13800
12 Treeview Dr Structure 2,1348,211,1.172173913,10,94,11,3500
16 Treeview Dr Structure 2,2469,386,2.146956522,10,173,16,6400
227 Thirtieth St Structure 2,2457,385,2.136521739,10,172,16,6400
229 Thirtieth St Structure 2,3320,520,2.886956522,10,232,22,8700
231 Thirtieth St Structure 2,2071,324,1.800869565,10,145,15,5400
233 Thirtieth St Structure 1,5894,922,5.125217391,9,413,44,13800
239 Thirtieth St Structure 2,1491,233,1.296521739,10,104,11,3900
22 Treeview Dr Structure 2,1953,306,1.69826087,10,137,14,5100
21 Treeview Dr Structure 2,4703,736,4.089565217,10,329,34,12300
26 Treeview Dr Structure 1,5477,857,4.762608696,10,383,40,14300
23 Treeview Dr Structure 1,5839,914,5.077391304,9,409,44,13700
21A Treeview Dr Structure 2,5712,894,4.966956522,10,400,41,14900
347 Rimilton Ave Structure 2,2939,460,2.555652174,10,206,22,7700
32 Treeview Dr Structure 2,2638,413,2.293913043,10,185,18,6900
38 Treeview Dr Structure 1,5945,930,5.169565217,9,416,44,14000
34 Treeview Dr Structure 2,3465,542,3.013043478,10,243,26,9000
247 Thirtieth St Structure 1,4745,743,4.126086957,10,332,40,12400
220 Thirtieth St Structure 2,2896,453,2.51826087,10,203,21,7600
218 Thirtieth St Structure 1,5863,918,5.09826087,9,410,43,13800
95 North Carson St Structure 2,1743,273,1.515652174,10,122,12,4500
97 North Carson St Structure 2,2343,367,2.037391304,10,164,16,6100
101 North Carson St Structure 2,5793,907,5.037391304,9,406,42,13600
100 North Carson St Structure 2,2087,327,1.814782609,10,146,14,5400
103 North Carson St Structure 1,4303,673,3.74173913,10,301,36,11200
105 North Carson St Structure 2,3381,529,2.94,10,237,26,8800
107 North Carson St Structure 1,5778,904,5.024347826,9,404,42,13600
191 Delta St Structure 1,4846,758,4.213913043,10,339,32,12600
193 Delta St Structure 1,4450,696,3.869565217,10,312,32,11600
195 Delta St Structure 1,5459,854,4.746956522,10,382,36,14200
195 Delta St Structure 2,1753,274,1.524347826,10,123,12,4600
200 Delta St Structure 1,4425,693,3.847826087,10,310,36,11500
204 Delta St Structure 2,1150,180,1,10,81,10,3000
196A Delta St Structure 1,4686,733,4.074782609,10,328,36,12200
196A Delta St Structure 2,2201,344,1.913913043,10,154,16,5700
196 Delta St Structure 2,2670,418,2.32173913,10,187,21,7000
193 Gamma St Structure 1,4089,640,3.555652174,10,286,31,10700
193 Gamma St Structure 2,1946,305,1.692173913,10,136,14,5100
392 Rimilton Ave Structure 2,1426,223,1.24,10,100,10,3700
188 Delta St Structure 1,3723,583,3.237391304,10,261,27,9700
188 Delta St Structure 2,4345,680,3.77826087,10,304,33,11300
386 Rimilton Ave Structure 2,1674,262,1.455652174,10,117,13,4400
378 Rimilton Ave Structure 2,2525,395,2.195652174,10,177,19,6600
377 Rimilton Ave Structure 2,5486,859,4.770434783,10,384,39,14300
178 Delta St Structure 1,5423,849,4.715652174,10,380,38,14100
178 Delta St Structure 2,2419,379,2.103478261,10,169,16,6300
166 Delta St Structure 2,2638,413,2.293913043,10,185,19,6900
168 Delta St Structure 1,5655,885,4.917391304,10,396,39,14800
168 Delta St Structure 2,2507,392,2.18,10,175,16,6500
174 Delta St Structure 2,2537,397,2.206086957,10,178,19,6600
176 Delta St Structure 1,5450,853,4.739130435,10,382,41,14200
176 Delta St Structure 2,5545,868,4.82173913,10,388,40,14500
173 Gamma St Structure 2,2184,342,1.899130435,10,153,14,5700
171 Gamma St Structure 2,5886,921,5.11826087,9,412,44,13800
167A Gamma St Structure 1,3874,606,3.368695652,10,271,29,10100
387 Rimilton Ave Structure 2,4825,755,4.195652174,10,338,36,12600
186B Gamma St Structure 1,4996,782,4.344347826,10,350,41,13000
411 Rimilton Ave Structure 2,2079,325,1.807826087,10,146,16,5400
415 Rimilton Ave Structure 1,6234,976,5.420869565,9,436,48,14600
421 Rimilton Ave Structure 1,5607,877,4.875652174,10,392,44,14600
421 Rimilton Ave Structure 2,1671,262,1.453043478,10,117,13,4400
417 Rimilton Ave Structure 1,6011,941,5.226956522,9,421,49,14100
416 Rimilton Ave Structure 1,3583,561,3.115652174,10,251,29,9300
414 Rimilton Ave Structure 1,5872,919,5.106086957,9,411,48,13800
414 Rimilton Ave Structure 2,1829,286,1.590434783,10,128,14,4800
412 Rimilton Ave Structure 1,3609,565,3.13826087,10,253,26,9400
410 Rimilton Ave Structure 1,5065,793,4.404347826,10,355,43,13200
410 Rimilton Ave Structure 2,3879,607,3.373043478,10,272,30,10100
195 Beta St Structure 2,2340,366,2.034782609,10,164,16,6100
191 Beta St Structure 2,1935,303,1.682608696,10,135,15,5000
191 Gamma St Structure 1,3995,625,3.473913043,10,280,30,10400
196A Gamma St Structure 1,5488,859,4.772173913,10,384,41,14300
198B Gamma St Structure 1,4237,663,3.684347826,10,297,31,11100
200 Gamma St Structure 1,4330,678,3.765217391,10,303,32,11300
200 Gamma St Structure 2,1248,195,1.085217391,10,87,8,3300
204 Gamma St Structure 1,4596,719,3.996521739,10,322,34,12000
202 Gamma St Structure 1,3326,521,2.892173913,10,233,26,8700
195 Gamma St Structure 1,5880,920,5.113043478,9,412,42,13800
197 Gamma St Structure 1,5814,910,5.0556521740000004,9,407,42,13700
197 Gamma St Structure 2,1340,210,1.165217391,10,94,10,3500
199 Gamma St Structure 1,5981,936,5.200869565,9,419,42,14000
199 Gamma St Structure 2,1198,187,1.04173913,10,84,8,3100
201 Gamma St Structure 1,5181,811,4.505217391,10,363,37,13500
201 Gamma St Structure 2,1788,280,1.554782609,10,125,13,4700
206 Gamma St Structure 1,5371,841,4.670434783,10,376,39,14000
206 Gamma St Structure 2,1274,199,1.107826087,10,89,10,3300
197 Beta St Structure 2,1894,296,1.646956522,10,133,14,4900
199 Beta St Structure 1,4777,748,4.153913043,10,334,32,12500
199 Beta St Structure 2,2161,338,1.879130435,10,151,14,5600
208A Beta St Structure 1,4350,681,3.782608696,10,305,33,11300
207 Aldercrest Rd Structure 1,5691,891,4.948695652,10,398,39,14800
207 Aldercrest Rd Structure 2,3345,523,2.908695652,10,234,22,8700
203 Aldercrest Rd Structure 2,2274,356,1.977391304,10,159,18,5900
198 Beta St Structure 2,1392,218,1.210434783,10,97,12,3600
196A Beta St Structure 1,3831,600,3.331304348,10,268,30,10000
196 Beta St Structure 2,3226,505,2.805217391,10,226,24,8400
199 Aldercrest Rd Structure 1,5024,786,4.368695652,10,352,38,13100
199 Aldercrest Rd Structure 2,1172,183,1.019130435,10,82,10,3100
193 Aldercrest Rd Structure 1,5381,842,4.679130435,10,377,38,14000
195 Aldercrest Rd Structure 1,4244,664,3.690434783,10,297,31,11100
201 Aldercrest Rd Structure 1,3475,544,3.02173913,10,243,27,9100
197 Aldercrest Rd Structure 1,3593,562,3.124347826,10,252,27,9400
